Symbol,Date,Open,High,Low,Close,Adj Close,Volume
PFE,3/25/22,51.00123854,52.74000168,53.25,52.50999832,52.77999878,17429600
PFE,3/28/22,50.79816011,52.52999878,53.56000137,52.5,53.27999878,21863700
PFE,3/29/22,52.21969777,54,54.08000183,52.61999893,52.74000168,39970000
PFE,3/30/22,51.44607421,53.20000076,53.72000122,51.97000122,52.43999863,27599600
PFE,3/31/22,50.28563395,52,52.88000107,51.74000168,51.77000046,26055200
PFE,4/1/22,50.40167472,52.11999893,52.15999985,51.09999847,51.56999969,19073100
PFE,4/4/22,50.07288468,51.77999878,51.86999893,50.36999893,50.93999863,20462800
PFE,4/5/22,49.13486591,50.81000137,52.15000153,50.75,51.24000168,21176700
PFE,4/6/22,49.47332649,51.15999985,53.09000015,51.15999985,52.86999893,31717500
PFE,4/7/22,50.76915009,52.5,55.40999985,52.5,55.15999985,36305700
PFE,4/8/22,53.04167404,54.84999847,55.58000183,54.45999908,55.16999817,24612200
PFE,4/11/22,53.63156504,55.45999908,56.31999969,53.77999878,53.93000031,22054300
PFE,4/12/22,51.54277395,53.29999924,53.93000031,52.65000153,53.11000061,22810700
PFE,4/13/22,51.3783825,53.13000107,53.81999969,52.70000076,53.09999847,15777800
PFE,4/14/22,51.63947704,53.40000153,53.90999985,53.04000092,53.11999893,17240100
PFE,4/18/22,51.0882717,52.83000183,53.11000061,51.63000107,51.84000015,17065000
PFE,4/19/22,49.95684076,51.65999985,51.88000107,49.36999893,50.18000031,33441500
PFE,4/20/22,48.35157155,50,50.15999985,49.20999908,49.75,24751800
PFE,4/21/22,48.28388273,49.93000031,50.00999832,48.91999817,49.11000061,19105600
PFE,4/22/22,47.33618982,48.95000076,49.09999847,47.90000153,48.13000107,22156800
PFE,4/25/22,46.27244875,47.84999847,49.18999863,47.11999893,48.95000076,27390600
PFE,4/26/22,47.37486525,48.99000168,50.25,48.91999817,49.02999878,25366500
PFE,4/27/22,47.49091638,49.11000061,49.90999985,48.20999908,49.74000168,25819200
